measurement_condition_key	hard_within_source_conflict	rows	record_ids	source_ids	targets_json	interpretation
MLMEASURE1:000f0171c0ff0fd3c9dd6125	true	2	PV13:0be3831b800c61038499f42c;PV13:c75a05d1b4e95a4226c2677a	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-5.275"",""="",""""],[""-6.201"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:005b8578a8bed293109a5d62	true	2	PV13:6503e196403e136f274d869c;PV13:e4f4c67704c950c61be06c03	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-5.928"",""="",""""],[""-6.215"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:00abffa40a820ea7d8d24189	true	2	PV13:8fa49a03c56032d5c3593da5;PV13:a97d69602bdadd11981f83e4	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-6.071"",""="",""""],[""-6.357"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:00ba86e5bd471fdff6cec2b7	true	2	PV13:567d9858b9b3cd0634ce0e59;PV13:5790aadd1e9bea46cc534659	CycPeptMPDB	"[[""-5.32"",""="",""""],[""-5.4"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:00da98918b364f433bbe4628	true	2	PV13:ccffcb547b415eca8be20748;PV13:d7e7a86d64d5f50f4cae46e0	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-6.022"",""="",""""],[""-6.26"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0127ec61eafad7ff65be6995	true	2	PV13:316a888c0c9561eb26026a07;PV13:95e5fad7f8e64362b68c9df3	CycPeptMPDB	"[[""-5.85"",""="",""""],[""-5.89"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:015ee70ed33cc49e765738c7	true	2	PV13:cc3c35ce19dd6b7141f53cdd;PV13:f190515e59395092d513ce40	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-5.403"",""="",""""],[""-6.149"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:01ba637e600cce1849be389d	true	2	PV13:b348073e20bbe5321f188212;PV13:b86a9b6201a8874bdebedd4e	PEPlife2	"[[""3.2552725051"",""~"",""""],[""3.30535136945"",""~"",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:027a835f53b3a90a0b3abd6b	true	9	PV13:009b4d78a28949f4d7c56723;PV13:0eeb02ed2e2005e6a89b3b94;PV13:4b46330e3f686f484505a75d;PV13:55b59211fd74e71ffb96f33e;PV13:65f93f5955bdaebed08fe112;PV13:90aa1bdf4f320431c1b86019;PV13:9f50f17a8c4e9c8d89169ce6;PV13:c00bad774cda71513765b738;PV13:e06fbd8804fd5a0b62aa531c	PEPlife2	"[[""-0.0969100130081"",""="",""""],[""-0.119186407719"",""="",""""],[""-0.130768280269"",""="",""""],[""-0.154901959986"",""="",""""],[""-0.161150909263"",""="",""""],[""-0.173925197299"",""="",""""],[""-0.200659450546"",""="",""""],[""-0.481486060122"",""="",""""],[""-1.31875876262"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:028298e72748b3802c3de02a	true	2	PV13:29a6f25137d57fee4f36a18b;PV13:4fbfd1a1b0075db59e36d3ab	PEPlife2	"[[""2.38738982634"",""="",""""],[""2.86332286012"",""="",""""]]"	replicate_variability_or_condition_conflict_review
