task_id	endpoint_family	task_kind	binary_use_tiers	rows	positive_rows	negative_rows	positive_rate_among_labeled	binary_evidence_classes	identity_label_conflicts	is_positive_unlabeled	largest_source_fraction	negative_class	positive_class	research_modelable	strict_modelable	unique_identities	unique_sources
mlv1.bbb.binary_clas_8c2ea6bb.bbb_compiled_positive_r_9a0d991d.52d9175535b5dd80	BBB	binary_classification	weak_benchmark_reproduction_only	844	421	423	0.498815165877	database_positive_membership;rule_constructed_negative	0	false	1	rule-constructed weak negative	compiled BBB-positive peptide	true	false	844	1
mlv1.bbb.positive_unlabeled.blood_brain_barrier_penetrating.d907a1aa72a6cf3f	BBB	positive_unlabeled	positive_unlabeled_only	136	136	0	1	positive_only_unlabeled	0	true	1	not available; absence is not negative	database-curated positive membership	false	false	136	1
mlv1.cell_penetration.positive_unlabeled.cell_penetrating.70c247e6b86f828a	cell_penetration	positive_unlabeled	positive_unlabeled_only	784	784	0	1	positive_only_unlabeled	0	true	1	not available; absence is not negative	database-curated positive membership	false	false	784	1
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.2325490a4b557ade	solubility	binary_classification	rough_solvent_conditioned_benchmark	791	677	114	0.85587863464	source_defined_binary	0	false	1	source-defined insoluble	source-defined soluble	true	false	791	1
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.4646b730dfc76047	solubility	binary_classification	rough_solvent_conditioned_benchmark	47	47	0	1	source_defined_binary	0	false	1	source-defined insoluble	source-defined soluble	false	false	47	1
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.55eb99a0f1d8952e	solubility	binary_classification	rough_solvent_conditioned_benchmark	5	5	0	1	source_defined_binary	0	false	1	source-defined insoluble	source-defined soluble	false	false	5	1
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.5ec7e706ddc9e2a2	solubility	binary_classification	rough_solvent_conditioned_benchmark	329	94	235	0.285714285714	source_defined_binary	0	false	1	source-defined insoluble	source-defined soluble	true	false	329	1
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.65183d73293b0431	solubility	binary_classification	rough_solvent_conditioned_benchmark	333	109	224	0.327327327327	source_defined_binary	0	false	1	source-defined insoluble	source-defined soluble	true	false	333	1
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.c78b2349d5993f83	solubility	binary_classification	rough_solvent_conditioned_benchmark	607	345	262	0.568369028007	source_defined_binary	0	false	1	source-defined insoluble	source-defined soluble	true	false	607	1
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.c84f4394bd415624	solubility	binary_classification	rough_solvent_conditioned_benchmark	56	56	0	1	source_defined_binary	0	false	1	source-defined insoluble	source-defined soluble	false	false	56	1
mlv1.t1_2.binary_clas_8c2ea6bb.stability_threshold_1h.a990a886042c006f	T1/2	binary_classification	derived_binary_research	918	284	634	0.309368191721	threshold_derived_from_numeric	0	false	1	half-life < 1 h	half-life >= 1 h	true	false	918	1
