task_id	endpoint_family	normalized_unit	normalized_relation	censoring_type	point_regression_eligible	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count
mlv1.f.regression.bioavailability_unspeci_063f98e6.36957390caf300f5	F	fraction	>	lower_bound	false	1	1	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0	0	0	1	0	0	1	0
mlv1.f.regression.bioavailability_unspeci_063f98e6.b8c7da51746b37ef	F	fraction	<	upper_bound	false	1	1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	1	0	0	1	0
mlv1.f.regression.bioavailability_unspeci_063f98e6.b8c7da51746b37ef	F	fraction	~	approximate	false	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
mlv1.permeability.regression.apparent_permeability.32e6ae274c98b51b	permeability	log10(cm/s)	<	upper_bound	false	4	2	-8.2	-8.188	-8.14	-7.9	-7.8	-7.8	-7.8	-7.8	-7.8	-7.9	0.2	0.1	0	0.75	0	4	0	1
mlv1.permeability.regression.apparent_permeability.52d9ab33f01c98e3	permeability	log10(cm/s)	>	lower_bound	false	6	1	-6	-6	-6	-6	-6	-6	-6	-6	-6	-6	0	0	0	1	0	6	0	0
mlv1.permeability.regression.efflux_ratio.526cdaa652237f71	permeability	log10(ratio)	>	lower_bound	false	15	1	1.30102999566	1.30102999566	1.30102999566	1.30102999566	1.30102999566	1.30102999566	1.30102999566	1.30102999566	1.30102999566	1.30102999566	0	0	0	1	0	0	15	0
mlv1.ppb.regression.fraction_bound.8355e556c58889c5	PPB	fraction_bound	>	lower_bound	false	1	1	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0	0	0	1	0	0	1	0
mlv1.ppb.regression.fraction_bound.94f9f387c68bfeb1	PPB	fraction_bound	>	lower_bound	false	3	2	0.98	0.9802	0.981	0.985	0.99	0.99	0.99	0.99	0.99	0.986666666667	0.0057735026919	0.005	0	0.666666666667	0	0	3	0
mlv1.ppb.regression.fraction_bound.9d93911f6823dc3a	PPB	fraction_bound	<	upper_bound	false	1	1	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0	0	0	1	0	0	1	0
mlv1.ppb.regression.fraction_bound.b4ae2e2deea571f5	PPB	fraction_bound	>	lower_bound	false	2	2	0.5	0.5049	0.5245	0.6225	0.745	0.8675	0.9655	0.9851	0.99	0.745	0.346482322781	0.245	0.245	0.5	0	0	2	0
mlv1.t1_2.regression.other_context.00e5c2c2b2c2ceda	T1/2	log10(h)	<	upper_bound	false	4	1	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	0	0	0	1	0	4	0	0
mlv1.t1_2.regression.other_context.05fd8d9365437fb9	T1/2	log10(h)	>	lower_bound	false	1	1	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.08ca64eae437e31c	T1/2	log10(h)	<	upper_bound	false	1	1	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.other_context.0d11093408aa219e	T1/2	log10(h)	>	lower_bound	false	1	1	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.0d11093408aa219e	T1/2	log10(h)	~	approximate	false	1	1	-0.246672333341	-0.246672333341	-0.246672333341	-0.246672333341	-0.246672333341	-0.246672333341	-0.246672333341	-0.246672333341	-0.246672333341	-0.246672333341	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.other_context.1808027a157fa426	T1/2	log10(h)	<	upper_bound	false	1	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.other_context.1808027a157fa426	T1/2	log10(h)	>	lower_bound	false	2	1	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0	0	0	1	0	0	2	0
mlv1.t1_2.regression.other_context.1f11c36f833d6b45	T1/2	log10(h)	~	approximate	false	1	1	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.other_context.2189cd2984d9464e	T1/2	log10(h)	<	upper_bound	false	1	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.other_context.2189cd2984d9464e	T1/2	log10(h)	>	lower_bound	false	1	1	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.4073a80484f68c47	T1/2	log10(h)	>	lower_bound	false	1	1	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.46a853d38ecb1c98	T1/2	log10(h)	<	upper_bound	false	1	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.other_context.46a853d38ecb1c98	T1/2	log10(h)	>	lower_bound	false	1	1	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.4a82268cd9bec8af	T1/2	log10(h)	~	approximate	false	2	2	3.2552725051	3.25577329374	3.25777644832	3.26779222119	3.28031193728	3.29283165336	3.30284742623	3.30485058081	3.30535136945	3.28031193728	0.035411104576	0.025039432175	0.025039432175	0.5	0	0	2	0
mlv1.t1_2.regression.other_context.542376285a20352e	T1/2	log10(h)	>	lower_bound	false	1	1	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	1.47712125472	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.6c251773859bb51b	T1/2	log10(h)	<	upper_bound	false	3	1	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	0	0	0	1	0	3	0	0
mlv1.t1_2.regression.other_context.6c251773859bb51b	T1/2	log10(h)	>	lower_bound	false	3	2	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.80276026172	2.14079947773	2.20840732093	2.22530928173	1.66191058838	0.487917580897	0.42254902001	0	0.666666666667	0	0	3	0
mlv1.t1_2.regression.other_context.6c251773859bb51b	T1/2	log10(h)	~	approximate	false	1	1	0.124938736608	0.124938736608	0.124938736608	0.124938736608	0.124938736608	0.124938736608	0.124938736608	0.124938736608	0.124938736608	0.124938736608	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.6eb6c9144f46bee1	T1/2	log10(h)	<	upper_bound	false	1	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.other_context.6eb6c9144f46bee1	T1/2	log10(h)	>	lower_bound	false	3	1	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0	0	0	1	0	0	3	0
mlv1.t1_2.regression.other_context.77928e59635f4046	T1/2	log10(h)	<	upper_bound	false	1	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.other_context.77928e59635f4046	T1/2	log10(h)	>	lower_bound	false	1	1	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.7875b44305b53c1c	T1/2	log10(h)	<	upper_bound	false	1	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.other_context.7875b44305b53c1c	T1/2	log10(h)	>	lower_bound	false	2	1	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0	0	0	1	0	0	2	0
mlv1.t1_2.regression.other_context.83a0ceb80dd63b24	T1/2	log10(h)	<	upper_bound	false	3	1	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	-2.07918124605	0	0	0	1	0	3	0	0
mlv1.t1_2.regression.other_context.8a97cd7f5ae49d4b	T1/2	log10(h)	>	lower_bound	false	1	1	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.other_context.8d232a1493f9c235	T1/2	log10(h)	>	lower_bound	false	2	2	1.30102999566	1.31027278852	1.34724395996	1.53209981718	1.76316963869	1.99423946021	2.17909531743	2.21606648887	2.22530928173	1.76316963869	0.65356415089	0.462139643035	0.462139643035	0.5	0	0	2	0
