endpoint_family	partition	field	rows	missing_rows	missing_fraction
BBB	binary_evidence_catalog	task_id	844	0	0
BBB	binary_evidence_catalog	identity_group_id	844	0	0
BBB	binary_evidence_catalog	representation_text	844	0	0
BBB	binary_evidence_catalog	sequence	844	0	0
BBB	binary_evidence_catalog	source_id	844	0	0
BBB	binary_evidence_catalog	source_group_ids	844	0	0
BBB	binary_evidence_catalog	raw_endpoint_detail	844	0	0
BBB	binary_evidence_catalog	raw_unit	844	844	1
BBB	binary_evidence_catalog	normalized_value	844	0	0
BBB	binary_evidence_catalog	normalized_unit	844	0	0
BBB	binary_evidence_catalog	raw_species	844	844	1
BBB	binary_evidence_catalog	raw_matrix	844	844	1
BBB	binary_evidence_catalog	raw_assay	844	844	1
BBB	binary_evidence_catalog	raw_route	844	844	1
BBB	binary_evidence_catalog	raw_dose	844	844	1
BBB	binary_evidence_catalog	raw_timepoint	844	844	1
BBB	positive_unlabeled	task_id	136	0	0
BBB	positive_unlabeled	identity_group_id	136	0	0
BBB	positive_unlabeled	representation_text	136	0	0
BBB	positive_unlabeled	sequence	136	0	0
BBB	positive_unlabeled	source_id	136	0	0
BBB	positive_unlabeled	source_group_ids	136	0	0
BBB	positive_unlabeled	raw_endpoint_detail	136	0	0
BBB	positive_unlabeled	raw_unit	136	136	1
BBB	positive_unlabeled	normalized_value	136	0	0
BBB	positive_unlabeled	normalized_unit	136	0	0
BBB	positive_unlabeled	raw_species	136	136	1
BBB	positive_unlabeled	raw_matrix	136	136	1
BBB	positive_unlabeled	raw_assay	136	136	1
BBB	positive_unlabeled	raw_route	136	136	1
BBB	positive_unlabeled	raw_dose	136	136	1
BBB	positive_unlabeled	raw_timepoint	136	136	1
CL	identity_review	task_id	17	0	0
CL	identity_review	identity_group_id	17	17	1
CL	identity_review	representation_text	17	17	1
CL	identity_review	sequence	17	0	0
CL	identity_review	source_id	17	0	0
CL	identity_review	source_group_ids	17	0	0
CL	identity_review	raw_endpoint_detail	17	0	0
CL	identity_review	raw_unit	17	0	0
CL	identity_review	normalized_value	17	0	0
CL	identity_review	normalized_unit	17	0	0
CL	identity_review	raw_species	17	0	0
CL	identity_review	raw_matrix	17	0	0
CL	identity_review	raw_assay	17	0	0
CL	identity_review	raw_route	17	11	0.647058823529
CL	identity_review	raw_dose	17	17	1
CL	identity_review	raw_timepoint	17	17	1
CL	normalization_review	task_id	11	0	0
CL	normalization_review	identity_group_id	11	0	0
CL	normalization_review	representation_text	11	0	0
CL	normalization_review	sequence	11	9	0.818181818182
CL	normalization_review	source_id	11	0	0
CL	normalization_review	source_group_ids	11	0	0
CL	normalization_review	raw_endpoint_detail	11	0	0
CL	normalization_review	raw_unit	11	9	0.818181818182
CL	normalization_review	normalized_value	11	11	1
CL	normalization_review	normalized_unit	11	11	1
CL	normalization_review	raw_species	11	11	1
CL	normalization_review	raw_matrix	11	2	0.181818181818
CL	normalization_review	raw_assay	11	2	0.181818181818
CL	normalization_review	raw_route	11	11	1
CL	normalization_review	raw_dose	11	11	1
CL	normalization_review	raw_timepoint	11	11	1
CL	semantic_review	task_id	16	0	0
CL	semantic_review	identity_group_id	16	0	0
CL	semantic_review	representation_text	16	0	0
CL	semantic_review	sequence	16	4	0.25
CL	semantic_review	source_id	16	0	0
CL	semantic_review	source_group_ids	16	0	0
CL	semantic_review	raw_endpoint_detail	16	0	0
CL	semantic_review	raw_unit	16	0	0
CL	semantic_review	normalized_value	16	0	0
CL	semantic_review	normalized_unit	16	0	0
CL	semantic_review	raw_species	16	0	0
CL	semantic_review	raw_matrix	16	0	0
CL	semantic_review	raw_assay	16	0	0
CL	semantic_review	raw_route	16	0	0
CL	semantic_review	raw_dose	16	0	0
CL	semantic_review	raw_timepoint	16	4	0.25
CL	strict_numeric	task_id	49	0	0
CL	strict_numeric	identity_group_id	49	0	0
CL	strict_numeric	representation_text	49	0	0
CL	strict_numeric	sequence	49	17	0.34693877551
CL	strict_numeric	source_id	49	0	0
CL	strict_numeric	source_group_ids	49	0	0
CL	strict_numeric	raw_endpoint_detail	49	0	0
CL	strict_numeric	raw_unit	49	0	0
CL	strict_numeric	normalized_value	49	0	0
CL	strict_numeric	normalized_unit	49	0	0
CL	strict_numeric	raw_species	49	7	0.142857142857
CL	strict_numeric	raw_matrix	49	0	0
CL	strict_numeric	raw_assay	49	0	0
CL	strict_numeric	raw_route	49	7	0.142857142857
CL	strict_numeric	raw_dose	49	16	0.326530612245
CL	strict_numeric	raw_timepoint	49	21	0.428571428571
F	censored_numeric	task_id	3	0	0
F	censored_numeric	identity_group_id	3	0	0
F	censored_numeric	representation_text	3	0	0
F	censored_numeric	sequence	3	0	0
F	censored_numeric	source_id	3	0	0
F	censored_numeric	source_group_ids	3	0	0
F	censored_numeric	raw_endpoint_detail	3	0	0
F	censored_numeric	raw_unit	3	0	0
F	censored_numeric	normalized_value	3	0	0
F	censored_numeric	normalized_unit	3	0	0
F	censored_numeric	raw_species	3	0	0
F	censored_numeric	raw_matrix	3	3	1
F	censored_numeric	raw_assay	3	0	0
F	censored_numeric	raw_route	3	0	0
F	censored_numeric	raw_dose	3	3	1
F	censored_numeric	raw_timepoint	3	3	1
F	identity_review	task_id	6	0	0
F	identity_review	identity_group_id	6	6	1
F	identity_review	representation_text	6	6	1
F	identity_review	sequence	6	0	0
F	identity_review	source_id	6	0	0
F	identity_review	source_group_ids	6	0	0
F	identity_review	raw_endpoint_detail	6	0	0
F	identity_review	raw_unit	6	0	0
F	identity_review	normalized_value	6	0	0
F	identity_review	normalized_unit	6	0	0
F	identity_review	raw_species	6	0	0
F	identity_review	raw_matrix	6	0	0
F	identity_review	raw_assay	6	0	0
F	identity_review	raw_route	6	0	0
F	identity_review	raw_dose	6	6	1
F	identity_review	raw_timepoint	6	6	1
F	semantic_review	task_id	23	0	0
F	semantic_review	identity_group_id	23	0	0
F	semantic_review	representation_text	23	0	0
F	semantic_review	sequence	23	4	0.173913043478
