endpoint_family	partition	representation_type	rows	member_rows	unique_identity_groups	unique_representations	character_length_iqr	character_length_mad	character_length_max	character_length_mean	character_length_median	character_length_min	character_length_n	character_length_negative_count	character_length_p01	character_length_p05	character_length_p25	character_length_p75	character_length_p95	character_length_p99	character_length_positive_count	character_length_sd	character_length_top_value_fraction	character_length_tukey_outlier_count	character_length_unique_values	character_length_zero_count	model_residue_count_iqr	model_residue_count_mad	model_residue_count_max	model_residue_count_mean	model_residue_count_median	model_residue_count_min	model_residue_count_n	model_residue_count_negative_count	model_residue_count_p01	model_residue_count_p05	model_residue_count_p25	model_residue_count_p75	model_residue_count_p95	model_residue_count_p99	model_residue_count_positive_count	model_residue_count_sd	model_residue_count_top_value_fraction	model_residue_count_tukey_outlier_count	model_residue_count_unique_values	model_residue_count_zero_count	nonascii_rows	prefix_error_rows
BBB	all	helm	136	136	136	136	34.5	12	128	57.7352941176	48	26	136	0	27.05	32	38.75	73.25	106.5	121.7	136	25.2604903897	0.0661764705882	2	47	0	14.75	5	52	15.9191176471	10	2	136	0	3	4	6.75	21.5	41.25	48.85	136	12.784860924	0.110294117647	2	34	0	0	0
BBB	all	sequence	844	844	844	844	13	5	54	20.3957345972	17	9	844	0	9	10	13	26	41	48	844	9.92628970645	0.0912322274882	16	43	0	13	5	50	16.3957345972	13	5	844	0	5	6	9	22	37	44	844	9.92628970645	0.0912322274882	16	43	0	0	0
BBB	binary_evidence_catalog	sequence	844	844	844	844	13	5	54	20.3957345972	17	9	844	0	9	10	13	26	41	48	844	9.92628970645	0.0912322274882	16	43	0	13	5	50	16.3957345972	13	5	844	0	5	6	9	22	37	44	844	9.92628970645	0.0912322274882	16	43	0	0	0
BBB	positive_unlabeled	helm	136	136	136	136	34.5	12	128	57.7352941176	48	26	136	0	27.05	32	38.75	73.25	106.5	121.7	136	25.2604903897	0.0661764705882	2	47	0	14.75	5	52	15.9191176471	10	2	136	0	3	4	6.75	21.5	41.25	48.85	136	12.784860924	0.110294117647	2	34	0	0	0
CL	all	helm	37	37	7	7	62	7	262	107.432432432	70	41	37	0	48.92	63	63	125	262	262	37	72.8039759829	0.459459459459	6	7	0	21	2	39	17.6756756757	11	7	37	0	7.72	9	9	30	39	39	37	11.2374721704	0.459459459459	0	7	0	0	0
CL	all	missing	17	17	0	0							0												0								0												0		0	0
CL	all	sequence	4	4	1	1	0	0	22	22	22	22	4	0	22	22	22	22	22	22	4	0	1	0	1	0	0	0	18	18	18	18	4	0	18	18	18	18	18	18	4	0	1	0	1	0	0	0
CL	all	smiles	35	35	16	16	49	30	163	125.171428571	117	86	35	0	86	86.7	109	158	159.9	162.66	35	29.0288758007	0.171428571429	0	14	0							0												0		0	0
CL	identity_review	missing	17	17	0	0							0												0								0												0		0	0
CL	normalization_review	helm	2	2	2	2	47.5	47.5	136	88.5	88.5	41	2	0	41.95	45.75	64.75	112.25	131.25	135.05	2	67.1751442127	0.5	0	2	0	2	2	11	9	9	7	2	0	7.04	7.2	8	10	10.8	10.96	2	2.82842712475	0.5	0	2	0	0	0
