data_layer	endpoint	partition	length_metric	length	representative_rows	member_rows
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	5	42	42
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	6	34	34
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	7	54	54
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	8	55	55
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	9	77	77
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	10	60	60
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	11	37	37
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	12	58	58
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	13	31	31
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	14	21	21
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	15	19	19
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	16	22	22
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	17	31	31
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	18	24	24
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	19	30	30
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	20	10	10
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	21	19	19
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	22	14	14
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	23	17	17
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	24	22	22
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	25	16	16
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	26	8	8
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	27	11	11
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	28	11	11
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	29	10	10
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	30	23	23
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	31	7	7
ml_clean_partitions	BBB	binary_evidence_catalog	raw_standard_20aa_residue_count	32	3	3
