endpoint_family	parameter_semantics	parameter_basis	assay_family	normalized_unit	target_transform	descriptive_only	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count	tasks	unique_identities	unique_sources
CL	apparent_clearance	apparent_over_f	noncompartmental_analysis	L/h	identity	true	11	11	0.629	0.664	0.804	1.18	1.54	429.9	451.5	457.98	459.6	198.035272727	226.512860561	428.72	0.911	0.0909090909091	0	0	11	0	11	2	1
CL	apparent_clearance	apparent_over_f	noncompartmental_analysis	mL/min/kg	identity	true	8	8	47.9833333333	48.0685	48.4091666667	50.25	66.8916666667	84.075	97.42	102.684	104	69.3083333333	21.3704624813	33.825	17.25	0.125	0	0	8	0	8	2	2
CL	intrinsic_clearance	intrinsic	in_vitro_clearance_assay	uL/min/mg protein	identity	true	7	7	10	11.38	16.9	38	160	192	286.7	315.74	323	136.142857143	113.395221198	154	117	0.142857142857	0	0	7	0	1	7	1
CL	nonrenal_clearance	component	population_pk	L/h	identity	true	1	1	2.56	2.56	2.56	2.56	2.56	2.56	2.56	2.56	2.56	2.56	0	0	0	1	0	0	1	0	1	1	1
CL	renal_clearance	component	population_pk	L/h	identity	true	1	1	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	0	0	0	1	0	0	1	0	1	1	1
CL	systemic_clearance	absolute	noncompartmental_analysis	L/h	identity	true	2	2	1052.4	1056.041	1070.605	1143.425	1234.45	1325.475	1398.295	1412.859	1416.5	1234.45	257.45757903	182.05	182.05	0.5	0	0	2	0	2	1	1
CL	systemic_clearance	absolute	noncompartmental_analysis	mL/min/kg	identity	true	15	15	1.59666666667	1.60086666667	1.61766666667	2.975	20.0833333333	33.755	62.506	66.9412	68.05	22.9654444444	20.9460085078	30.78	16.3166666667	0.0666666666667	0	0	15	0	10	9	3
CL	systemic_clearance	absolute	source_reported_pk	mL/min/kg	identity	true	4	4	22.4	22.568	23.24	26.6	37	57.825	86.205	91.881	93.3	47.425	32.1979683624	31.225	11.8	0.25	0	0	4	0	4	2	2
F	absolute_bioavailability	absolute	exposure_ratio	fraction	identity	true	6	6	0.007	0.0072	0.008	0.01325	0.042	0.091	0.6025	0.7365	0.77	0.162	0.300033998074	0.07775	0.033	0.166666666667	0	0	6	1	4	4	2
F	absolute_bioavailability	absolute	noncompartmental_analysis	fraction	identity	true	3	3	0.48807	0.4884356	0.489898	0.49721	0.50635	0.515875	0.523495	0.525019	0.5254	0.506606666667	0.0186663235088	0.018665	0.01828	0.333333333333	0	0	3	0	3	1	1
