task_id	endpoint_family	parameter_semantics	normalized_unit	strict_modelable	size_bin	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count	assay_family	hard_conflict_rows	helm_representation_rows	largest_source_fraction	parameter_basis	research_modelable	semantic_signature	sequence_representation_rows	smiles_representation_rows	target_transform	unique_identities	unique_sources
mlv1.cl.regression.apparent_clearance.022f6aa4d069427e	CL	apparent_clearance	mL/min/kg	false	1	1	1	49.2	49.2	49.2	49.2	49.2	49.2	49.2	49.2	49.2	49.2	0	0	0	1	0	0	1	0	noncompartmental_analysis	0	1	1	apparent_over_f	false	"{""assay_family"":""noncompartmental_analysis"",""binary_evidence_lane"":""not_binary"",""condition"":{""analyte"":""parent_or_named_active_moiety"",""dose"":""30_microgram_kg"",""formulation"":""unspecified"",""matrix"":""plasma"",""method"":""noncompartmental_analysis"",""route"":""subcutaneous"",""species"":""human"",""timepoint"":""day_1"",""volume_subtype"":""not_applicable""},""endpoint_family"":""CL"",""normalized_unit"":""mL/min/kg"",""parameter_basis"":""apparent_over_f"",""parameter_semantics"":""apparent_clearance"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	1	1
mlv1.cl.regression.apparent_clearance.0a1bd8ca530ec382	CL	apparent_clearance	mL/min/kg	false	1	1	1	104	104	104	104	104	104	104	104	104	104	0	0	0	1	0	0	1	0	noncompartmental_analysis	0	1	1	apparent_over_f	false	"{""assay_family"":""noncompartmental_analysis"",""binary_evidence_lane"":""not_binary"",""condition"":{""analyte"":""parent_or_named_active_moiety"",""dose"":""15_microgram_kg_once_daily"",""formulation"":""unspecified"",""matrix"":""plasma"",""method"":""noncompartmental_analysis"",""route"":""subcutaneous"",""species"":""human"",""timepoint"":""day_1"",""volume_subtype"":""not_applicable""},""endpoint_family"":""CL"",""normalized_unit"":""mL/min/kg"",""parameter_basis"":""apparent_over_f"",""parameter_semantics"":""apparent_clearance"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	1	1
mlv1.cl.regression.apparent_clearance.2070038b6b3b5123	CL	apparent_clearance	L/h	false	1	1	1	424.8	424.8	424.8	424.8	424.8	424.8	424.8	424.8	424.8	424.8	0	0	0	1	0	0	1	0	noncompartmental_analysis	0	1	1	apparent_over_f	false	"{""assay_family"":""noncompartmental_analysis"",""binary_evidence_lane"":""not_binary"",""condition"":{""analyte"":""parent_or_named_active_moiety"",""dose"":""0_14_mg_three_times_daily"",""formulation"":""unspecified"",""matrix"":""plasma"",""method"":""noncompartmental_analysis"",""route"":""subcutaneous"",""species"":""human"",""timepoint"":""d11"",""volume_subtype"":""not_applicable""},""endpoint_family"":""CL"",""normalized_unit"":""L/h"",""parameter_basis"":""apparent_over_f"",""parameter_semantics"":""apparent_clearance"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	1	1
mlv1.cl.regression.apparent_clearance.207e70294c608080	CL	apparent_clearance	L/h	false	1	1	1	1.16	1.16	1.16	1.16	1.16	1.16	1.16	1.16	1.16	1.16	0	0	0	1	0	0	1	0	noncompartmental_analysis	0	1	1	apparent_over_f	false	"{""assay_family"":""noncompartmental_analysis"",""binary_evidence_lane"":""not_binary"",""condition"":{""analyte"":""parent_or_named_active_moiety"",""dose"":""45_mg"",""formulation"":""lyophilized"",""matrix"":""plasma"",""method"":""noncompartmental_analysis"",""route"":""subcutaneous"",""species"":""human"",""timepoint"":""single_dose"",""volume_subtype"":""not_applicable""},""endpoint_family"":""CL"",""normalized_unit"":""L/h"",""parameter_basis"":""apparent_over_f"",""parameter_semantics"":""apparent_clearance"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	1	1
mlv1.cl.regression.apparent_clearance.35a804d586d2163a	CL	apparent_clearance	L/h	false	1	1	1	1.48	1.48	1.48	1.48	1.48	1.48	1.48	1.48	1.48	1.48	0	0	0	1	0	0	1	0	noncompartmental_analysis	0	1	1	apparent_over_f	false	"{""assay_family"":""noncompartmental_analysis"",""binary_evidence_lane"":""not_binary"",""condition"":{""analyte"":""parent_or_named_active_moiety"",""dose"":""60_mg"",""formulation"":""lyophilized"",""matrix"":""plasma"",""method"":""noncompartmental_analysis"",""route"":""subcutaneous"",""species"":""human"",""timepoint"":""single_dose"",""volume_subtype"":""not_applicable""},""endpoint_family"":""CL"",""normalized_unit"":""L/h"",""parameter_basis"":""apparent_over_f"",""parameter_semantics"":""apparent_clearance"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	1	1
mlv1.cl.regression.apparent_clearance.61d6fb67f5d89c5f	CL	apparent_clearance	L/h	false	1	1	1	1.54	1.54	1.54	1.54	1.54	1.54	1.54	1.54	1.54	1.54	0	0	0	1	0	0	1	0	noncompartmental_analysis	0	1	1	apparent_over_f	false	"{""assay_family"":""noncompartmental_analysis"",""binary_evidence_lane"":""not_binary"",""condition"":{""analyte"":""parent_or_named_active_moiety"",""dose"":""20_mg"",""formulation"":""aqueous"",""matrix"":""plasma"",""method"":""noncompartmental_analysis"",""route"":""subcutaneous"",""species"":""human"",""timepoint"":""single_dose"",""volume_subtype"":""not_applicable""},""endpoint_family"":""CL"",""normalized_unit"":""L/h"",""parameter_basis"":""apparent_over_f"",""parameter_semantics"":""apparent_clearance"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	1	1
mlv1.cl.regression.apparent_clearance.7a97c29e5b0ec42b	CL	apparent_clearance	L/h	false	1	1	1	443.4	443.4	443.4	443.4	443.4	443.4	443.4	443.4	443.4	443.4	0	0	0	1	0	0	1	0	noncompartmental_analysis	0	1	1	apparent_over_f	false	"{""assay_family"":""noncompartmental_analysis"",""binary_evidence_lane"":""not_binary"",""condition"":{""analyte"":""parent_or_named_active_moiety"",""dose"":""0_14_mg_three_times_daily"",""formulation"":""unspecified"",""matrix"":""plasma"",""method"":""noncompartmental_analysis"",""route"":""subcutaneous"",""species"":""human"",""timepoint"":""d7"",""volume_subtype"":""not_applicable""},""endpoint_family"":""CL"",""normalized_unit"":""L/h"",""parameter_basis"":""apparent_over_f"",""parameter_semantics"":""apparent_clearance"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	1	1
mlv1.cl.regression.apparent_clearance.891166eba059e5e5	CL	apparent_clearance	mL/min/kg	false	1	1	1	54.3833333333	54.3833333333	54.3833333333	54.3833333333	54.3833333333	54.3833333333	54.3833333333	54.3833333333	54.3833333333	54.3833333333	0	0	0	1	0	0	1	0	noncompartmental_analysis	0	0	1	apparent_over_f	false	"{""assay_family"":""noncompartmental_analysis"",""binary_evidence_lane"":""not_binary"",""condition"":{""analyte"":""parent_or_named_active_moiety"",""dose"":""9_40_mg_kg"",""formulation"":""unspecified"",""matrix"":""plasma"",""method"":""noncompartmental_analysis"",""route"":""intraperitoneal"",""species"":""rat"",""timepoint"":""not_reported"",""volume_subtype"":""not_applicable""},""endpoint_family"":""CL"",""normalized_unit"":""mL/min/kg"",""parameter_basis"":""apparent_over_f"",""parameter_semantics"":""apparent_clearance"",""target_kind"":""regression"",""target_transform"":""identity""}"	1	0	identity	1	1
mlv1.cl.regression.apparent_clearance.9835c63224ea5127	CL	apparent_clearance	L/h	false	1	1	1	459.6	459.6	459.6	459.6	459.6	459.6	459.6	459.6	459.6	459.6	0	0	0	1	0	0	1	0	noncompartmental_analysis	0	1	1	apparent_over_f	false	"{""assay_family"":""noncompartmental_analysis"",""binary_evidence_lane"":""not_binary"",""condition"":{""analyte"":""parent_or_named_active_moiety"",""dose"":""0_1_mg_three_times_daily"",""formulation"":""unspecified"",""matrix"":""plasma"",""method"":""noncompartmental_analysis"",""route"":""subcutaneous"",""species"":""human"",""timepoint"":""d6"",""volume_subtype"":""not_applicable""},""endpoint_family"":""CL"",""normalized_unit"":""L/h"",""parameter_basis"":""apparent_over_f"",""parameter_semantics"":""apparent_clearance"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	1	1
mlv1.cl.regression.apparent_clearance.a5d662f76cef1d64	CL	apparent_clearance	mL/min/kg	false	1	1	1	85.2	85.2	85.2	85.2	85.2	85.2	85.2	85.2	85.2	85.2	0	0	0	1	0	0	1	0	noncompartmental_analysis	0	1	1	apparent_over_f	false	"{""assay_family"":""noncompartmental_analysis"",""binary_evidence_lane"":""not_binary"",""condition"":{""analyte"":""parent_or_named_active_moiety"",""dose"":""15_microgram_kg_once_daily"",""formulation"":""unspecified"",""matrix"":""plasma"",""method"":""noncompartmental_analysis"",""route"":""subcutaneous"",""species"":""human"",""timepoint"":""week_26"",""volume_subtype"":""not_applicable""},""endpoint_family"":""CL"",""normalized_unit"":""mL/min/kg"",""parameter_basis"":""apparent_over_f"",""parameter_semantics"":""apparent_clearance"",""target_kind"":""regression"",""target_transform"":""identity""}"	0	0	identity	1	1
