raw_endpoint	rows	numeric_rows	label_rows	label_fraction	labels_json	missing_sequence_rows	nonstandard_sequence_rows	numeric_fraction	raw_exact_standard_20aa_rows	raw_sequence_nonblank_rows	relations_json	task_types_json	unique_identity_keys	unique_raw_sequences	unique_sources	unique_standard_sequences	units_json	whitespace_normalized_standard_20aa_rows
BBB	844	0	844	1	"{""0"":423,""1"":421}"	0	0	0	844	844	"{""blank"":844}"	"{""binary"":844}"	844	844	1	844	"[""not_reported""]"	844
CL	72	72	0	0	{}	9	1	1	62	63	"{""="":72}"	"{""regression"":72}"	16	9	6	8	"[""L/h"",""L/h/kg"",""L/min"",""mL/h/kg"",""mL/min/kg"",""source_specific_clearance"",""uL/min/mg protein""]"	62
F	44	44	0	0	{}	10	20	1	14	34	"{""<"":1,""="":41,"">"":1,""~"":1}"	"{""regression"":44}"	31	24	5	4	"[""%"",""fraction""]"	14
LogD7.4	129	129	0	0	{}	0	47	1	82	129	"{""="":129}"	"{""regression"":129}"	74	72	3	25	"[""dimensionless"",""logD7.4_or_lipophilicity_source_value""]"	82
PPB	140	140	0	0	{}	15	87	1	38	125	"{""<"":1,""="":133,"">"":6}"	"{""regression"":140}"	82	67	6	20	"[""%"",""% bound"",""fraction"",""source_specific_ppbr""]"	38
T1/2	4930	4012	918	0.186206896552	"{""0"":634,""1"":284}"	76	1032	0.813793103448	3822	4918	"{""<"":54,""<="":3,""="":3761,"">"":117,""blank"":918,""~"":77}"	"{""binary"":918,""regression"":4012}"	2230	1758	7	1222	"[""Days"",""Hours"",""Minutes"",""Months"",""Seconds"",""Week"",""day"",""days"",""h"",""hour"",""hours"",""min"",""minute"",""minutes"",""month"",""not_reported"",""seconds"",""source_specific_half_life""]"	3822
Vd	53	53	0	0	{}	4	0	1	49	49	"{""="":53}"	"{""regression"":53}"	9	7	4	7	"[""L"",""L/kg"",""mL/kg""]"	49
bbb_penetration	136	0	136	1	"{""1"":136}"	0	69	0	67	136	"{""blank"":136}"	"{""source_defined_function_multilabel_classification"":136}"	136	135	1	67	"[""not_reported""]"	67
cell_penetration	784	0	784	1	"{""1"":784}"	0	47	0	737	784	"{""blank"":784}"	"{""source_defined_function_multilabel_classification"":784}"	784	784	1	737	"[""not_reported""]"	737
cell_viability_percent	7	7	0	0	{}	0	0	1	7	7	"{""="":7}"	"{""numeric_regression"":7}"	7	7	1	7	"[""%""]"	7
chromatographic_retention	22	22	0	0	{}	22	0	1	0	0	"{""blank"":22}"	"{""regression"":22}"	22	0	1	0	"[""min""]"	0
clearance	21	12	9	0.428571428571	"{""high"":6,""low"":1,""medium"":2}"	21	0	0.571428571429	0	0	"{""blank"":21}"	"{""multiclass_classification"":9,""regression"":12}"	9	0	1	0	"[""mL/min/kg"",""not_reported"",""uL/min/mg protein""]"	0
cytotoxicity	5615	4724	891	0.158682101514	"{""0"":891}"	3955	0	0.841317898486	1660	1660	"{""<"":89,""<="":5,""="":3688,"">"":791,"">="":43,""blank"":999}"	"{""binary"":891,""censored_regression"":18,""regression"":4706}"	4107	1221	2	1221	"[""%"",""nM"",""not_reported"",""uM"",""ug/mL""]"	1660
cytotoxicity_cc50	39	39	0	0	{}	0	0	1	39	39	"{""="":13,"">"":26}"	"{""censored_numeric_regression"":26,""numeric_regression"":13}"	39	39	1	39	"[""mg/mL"",""uM"",""ug/mL""]"	39
cytotoxicity_ec50	32	32	0	0	{}	0	0	1	32	32	"{""="":31,"">"":1}"	"{""censored_numeric_regression"":1,""numeric_regression"":31}"	31	31	1	31	"[""uM""]"	32
cytotoxicity_hc50	1	1	0	0	{}	0	0	1	1	1	"{""="":1}"	"{""numeric_regression"":1}"	1	1	1	1	"[""uM""]"	1
cytotoxicity_ic50	147	147	0	0	{}	0	0	1	147	147	"{""="":117,"">"":29,"">="":1}"	"{""censored_numeric_regression"":30,""numeric_regression"":117}"	113	113	1	113	"[""mM"",""mg/mL"",""uM"",""ug/mL""]"	147
cytotoxicity_lc50	10	10	0	0	{}	0	0	1	10	10	"{""="":8,"">"":2}"	"{""censored_numeric_regression"":2,""numeric_regression"":8}"	8	8	1	8	"[""uM"",""ug/mL""]"	10
cytotoxicity_percent	38	38	0	0	{}	0	0	1	38	38	"{""<"":10,""="":28}"	"{""censored_numeric_regression"":10,""numeric_regression"":28}"	30	30	1	30	"[""%""]"	38
cytotoxicity_proxy	36	36	0	0	{}	36	0	1	0	0	"{""blank"":36}"	"{""regression"":36}"	12	0	1	0	"[""%""]"	0
cytotoxicity_source_defined_binary	20	0	20	1	"{""0"":20}"	0	0	0	20	20	"{""blank"":20}"	"{""source_defined_binary_classification"":20}"	20	20	1	20	"[""not_reported""]"	20
drug_delivery	1578	0	1578	1	"{""1"":1578}"	0	117	0	1461	1578	"{""blank"":1578}"	"{""source_defined_function_multilabel_classification"":1578}"	1578	1577	1	1461	"[""not_reported""]"	1461
efflux_ratio	185	185	0	0	{}	185	0	1	0	0	"{"">"":15,""blank"":170}"	"{""censored_regression"":15,""regression"":170}"	145	0	2	0	"[""ratio""]"	0
exposure	10	10	0	0	{}	10	0	1	0	0	"{""blank"":10}"	"{""regression"":10}"	3	0	1	0	"[""ng*h/mL""]"	0
general toxicity	11036	0	11036	1	"{""0"":5518,""1"":5518}"	0	0	0	11036	11036	"{""blank"":11036}"	"{""binary"":11036}"	11036	11036	1	11036	"[""not_reported""]"	11036
half_life	13	13	0	0	{}	13	0	1	0	0	"{""<"":3,""blank"":10}"	"{""censored_regression"":3,""regression"":10}"	9	0	1	0	"[""h"",""min""]"	0
hemolysis	33566	24227	9339	0.278227968778	"{""0"":6771,""1"":2568}"	16462	0	0.721772031222	17104	17104	"{""<"":1605,""<="":79,""="":20620,"">"":1619,"">="":56,""blank"":9339,""~"":248}"	"{""binary"":7413,""binary_classification"":1926,""regression"":24227}"	19524	9006	5	9006	"[""%"",""mM"",""mg/L"",""nM"",""not_reported"",""uM"",""ug/mL"",""umol/L""]"	17104
hemolysis_concentration_at_50_percent	1	1	0	0	{}	0	0	1	1	1	"{""="":1}"	"{""numeric_regression"":1}"	1	1	1	1	"[""uM""]"	1
hemolysis_concentration_at_5_percent	1	1	0	0	{}	0	0	1	1	1	"{""="":1}"	"{""numeric_regression"":1}"	1	1	1	1	"[""ug/mL""]"	1
hemolysis_ec50	15	15	0	0	{}	0	0	1	15	15	"{""="":4,"">"":11}"	"{""censored_numeric_regression"":11,""numeric_regression"":4}"	15	15	1	15	"[""uM""]"	15
hemolysis_hc50	52	52	0	0	{}	0	0	1	52	52	"{""="":17,"">"":35}"	"{""censored_numeric_regression"":35,""numeric_regression"":17}"	52	52	1	52	"[""uM"",""ug/mL""]"	52
hemolysis_hd50	4	4	0	0	{}	0	0	1	4	4	"{""="":4}"	"{""numeric_regression"":4}"	4	4	1	4	"[""uM""]"	4
hemolysis_ic50	1	1	0	0	{}	0	0	1	1	1	"{""="":1}"	"{""numeric_regression"":1}"	1	1	1	1	"[""uM""]"	1
hemolysis_lc50	6	6	0	0	{}	0	0	1	6	6	"{""="":3,"">"":3}"	"{""censored_numeric_regression"":3,""numeric_regression"":3}"	6	6	1	6	"[""uM"",""ug/mL""]"	6
hemolysis_mhc	32	32	0	0	{}	0	0	1	32	32	"{""="":32}"	"{""numeric_regression"":32}"	32	32	1	32	"[""uM""]"	32
hemolysis_mhc10	39	39	0	0	{}	0	0	1	39	39	"{""="":21,"">"":18}"	"{""censored_numeric_regression"":18,""numeric_regression"":21}"	39	39	1	39	"[""uM""]"	39
hemolysis_percent	511	511	0	0	{}	0	0	1	511	511	"{""<"":23,""="":486,"">"":2}"	"{""censored_numeric_regression"":25,""numeric_regression"":486}"	216	216	1	216	"[""%""]"	511
hemolysis_source_defined_binary	32	0	32	1	"{""0"":32}"	0	0	0	32	32	"{""blank"":32}"	"{""source_defined_binary_classification"":32}"	32	32	1	32	"[""not_reported""]"	32
