raw_endpoint	task_type	raw_unit	raw_relation	descriptive_only	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count
CL	regression	L/h	=	true	10	10	0.629	0.6605	0.7865	1.17	1.51	3.88	1252.655	1383.731	1416.5	248.2768	526.797265822	2.71	0.706	0.1	0	0	10	2
CL	regression	L/h/kg	=	true	4	4	1.699	1.7344	1.876	2.584	2.9575	3.09275	3.22895	3.25619	3.263	2.71925	0.698194039409	0.50875	0.192	0.25	0	0	4	1
CL	regression	L/min	=	true	5	5	6.81	6.8208	6.864	7.08	7.25	7.39	7.606	7.6492	7.66	7.238	0.319953121566	0.31	0.17	0.2	0	0	5	0
CL	regression	mL/h/kg	=	true	20	20	95.8	96.142	97.51	217.25	254	553.5	1208.6	1263.32	1277	430.045	354.377705838	336.25	151.45	0.05	0	0	20	2
CL	regression	mL/min/kg	=	true	20	20	7.5	8.8889	14.4445	30.5075	44.1	79.425	91.745	101.549	104	51.34	28.0469977754	48.9175	18.9	0.05	0	0	20	0
CL	regression	source_specific_clearance	=	true	2	2	3	3.5866	5.933	17.665	32.33	46.995	58.727	61.0734	61.66	32.33	41.4788837844	29.33	29.33	0.5	0	0	2	0
CL	regression	uL/min/mg protein	=	true	11	11	29.5	29.85	31.25	47.8833333333	73	109.5	184.6875	216.9375	225	87.2365841964	58.1279527708	61.6166666667	33.5	0.0909090909091	0	0	11	1
F	regression	%	=	true	14	14	0	0.156	0.78	1.85	6.3	15.55	29.895	33.899	34.9	10.0857142857	11.0723395584	13.7	4.6	0.0714285714286	1	0	13	0
F	regression	fraction	<	true	1	1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	1	0	0	1	0
F	regression	fraction	=	true	27	24	0.007	0.00804	0.0161	0.44	0.55	0.8965	1	1	1	0.614511851852	0.319726431958	0.4565	0.293	0.111111111111	0	0	27	0
F	regression	fraction	>	true	1	1	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0	0	0	1	0	0	1	0
F	regression	fraction	~	true	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
LogD7.4	regression	dimensionless	=	true	126	123	-2.88	-2.54	-2.07850603245	-0.485	1.205	2.1325	4.0125	5.2	5.26	0.974516053909	1.81085478677	2.6175	1.11439001887	0.015873015873	0	38	88	0
LogD7.4	regression	logD7.4_or_lipophilicity_source_value	=	true	3	3	-0.46	-0.4024	-0.172	0.98	2.42	2.51	2.582	2.5964	2.6	1.52	1.71709056255	1.53	0.18	0.333333333333	0	1	2	0
PPB	regression	%	=	true	42	36	0	0	0	28.45	73.901446537	93.5836923501	98.95	99	99	60.8013187752	36.0318156056	65.1336923501	22.798553463	0.0952380952381	4	0	38	0
PPB	regression	% bound	=	true	46	34	62	68.3	81	90	97.45	99	99.3	99.51	99.6	93.5739130435	7.73874623157	9	1.85	0.0869565217391	0	0	46	2
