endpoint_id	source_dataset	file_id	source_url	raw_path	raw_sha256	raw_bytes	accepted_rows	rejected_rows	task_kind	value_transform	license_status	training_domain
HIA	hia_hou	4259591	https://dataverse.harvard.edu/api/access/datafile/4259591	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/hia_hou.tsv	9040c5985fd366acf736bca1587902af28450976410fe99db82027e5d9c713b4	40140	578	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
Pgp_inhibition	pgp_broccatelli	4259597	https://dataverse.harvard.edu/api/access/datafile/4259597	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/pgp_broccatelli.tsv	4fddc785a4f7109a92c60781fad9070a3917309cac5a78ac8e37bba17c54c9c0	125532	1219	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
CYP1A2_inhibition	cyp1a2_veith	4259573	https://dataverse.harvard.edu/api/access/datafile/4259573	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/cyp1a2_veith.tsv	a18b335832495d4cfa4ecffccf7cdfa12eb08e84b6703aebcc25564e5f21553e	760372	12579	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
CYP2C19_inhibition	cyp2c19_veith	4259576	https://dataverse.harvard.edu/api/access/datafile/4259576	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/cyp2c19_veith.tsv	8cf4c9cde4b7693ab37ceeb66efdcc8b05b8848d33f06255d52ba7e6db754ebc	770761	12665	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
CYP2C9_inhibition	cyp2c9_veith	4259577	https://dataverse.harvard.edu/api/access/datafile/4259577	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/cyp2c9_veith.tsv	272bfd9de9899dd978993e23ccfb2a56680912ef6c8d89c0a9eac7f36c1c55c9	739721	12092	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
CYP2D6_inhibition	cyp2d6_veith	4259580	https://dataverse.harvard.edu/api/access/datafile/4259580	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/cyp2d6_veith.tsv	1b50a2f02a6d9c02d29fd9e3684d661f64bfe8afb1fea09e5ffb3d54174c411b	799509	13130	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
CYP3A4_inhibition	cyp3a4_veith	4259582	https://dataverse.harvard.edu/api/access/datafile/4259582	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/cyp3a4_veith.tsv	4c85a4cea9ffadd36fdd188f96b866d1d8db5d333a6d423172cf4363a585565a	746183	12328	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
CYP2C9_substrate	cyp2c9_substrate_carbonmangels	4259584	https://dataverse.harvard.edu/api/access/datafile/4259584	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/cyp2c9_substrate_carbonmangels.tsv	a4b3d458cbca8cb74850464b15d5ab1f64787ea346cc38eedae29a388412f041	45602	669	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
CYP2D6_substrate	cyp2d6_substrate_carbonmangels	4259578	https://dataverse.harvard.edu/api/access/datafile/4259578	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/cyp2d6_substrate_carbonmangels.tsv	6eab25986d9a65595140447940f46d134ffd6c7c3fca3f25b5aaabcc30aa57d5	45390	667	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
CYP3A4_substrate	cyp3a4_substrate_carbonmangels	4259581	https://dataverse.harvard.edu/api/access/datafile/4259581	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/cyp3a4_substrate_carbonmangels.tsv	678341b7e40630a70b4e38b20e22dc73fbd8aff13fdd32cd7f6d702b62b5005e	46047	670	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
hERG	herg_karim	6822246	https://dataverse.harvard.edu/api/access/datafile/6822246	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/herg_karim.tsv	b47cbff0d65bbb5c6ade5ecd4c5bab20158c6cbf631a68f355efbe7e5fafc099	885072	13445	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
AMES	ames	4259564	https://dataverse.harvard.edu/api/access/datafile/4259564	data/peptide_omnipanel_v28_extended_tdc_20260719_run1/raw/ames.tsv	825c2b4c31c9cec81aa32eb394fd24e6b32ee4959905d4272e56483ecb6f3e16	344128	7278	0	classification	identity	component_license_pending_release_clearance	small_molecule_transfer_only
