task_id	endpoint_family	task_kind	representation	feature_schema	framework	candidate_name	parameters	development_rows	development_components	seed	training_data	artifact_sha256	status
mlv1.bbb.binary_clas_8c2ea6bb.bbb_compiled_positive_r_9a0d991d.52d9175535b5dd80	BBB	binary_classification	sequence	peptide_omnipanel_features_v1:sequence_char256_physchem_v21	sklearn	extra_trees_leaf1_sqrt	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 512}"	570	529	20260716	development_only	ef7c1dd186b0e62f6bb3767869650a228dd1f39c5c8e8a9930c57600dd5dcddc	development_only; not part of current sequence-only V2.8 display
mlv1.permeability.regression.apparent_permeability.32e6ae274c98b51b	permeability	regression	structure	peptide_omnipanel_features_v1:smiles_char256_morgan512_descriptors_v21	sklearn	extra_trees_leaf2_half	"{""max_features"": 0.5, ""min_samples_leaf"": 2, ""n_estimators"": 512}"	674	326	20260716	development_only	4f501d26429a3d886f2243c98faaf7efbc0c700b34da9eca2ea9a07169a7986a	development_only; not part of current sequence-only V2.8 display
mlv1.permeability.regression.apparent_permeability.8478c8510c612f9f	permeability	regression	structure	peptide_omnipanel_features_v1:smiles_char256_morgan512_descriptors_v21	catboost	catboost_depth4_mae	"{""depth"": 4, ""iterations"": 1000, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.03, ""loss_function"": ""MAE"", ""random_strength"": 0.25}"	965	418	20260716	development_only	207e68f9a1967f4f2d1dd414a2c0bc04171d6d8a8ad34bbf9307cf3ee2e5c5da	development_only; not part of current sequence-only V2.8 display
mlv1.permeability.regression.apparent_permeability.d541eeffecfcefce	permeability	regression	structure	peptide_omnipanel_features_v1:smiles_char256_morgan512_descriptors_v21	sklearn	hist_gradient_leaf15	"{""l2"": 3.0, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 15}"	137	37	20260716	development_only	def656167b0f41868aee21f00fffbd70d93b7652b6616a49e5c535e3c9f4fbe1	development_only; not part of current sequence-only V2.8 display
mlv1.permeability.regression.apparent_permeability.e74490767e77cabe	permeability	regression	structure	peptide_omnipanel_features_v1:smiles_char256_morgan512_descriptors_v21	catboost	catboost_depth8_mae	"{""depth"": 8, ""iterations"": 750, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.025, ""loss_function"": ""MAE"", ""random_strength"": 0.5}"	4585	845	20260716	development_only	c658565cecbcac378a584e695f38c7b4b3954832aaf8d29c06a5788d482cb544	development_only; not part of current sequence-only V2.8 display
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.2325490a4b557ade	solubility	binary_classification	helm	peptide_omnipanel_features_v1:helm_char512_v21	lightgbm	lightgbm_leaf31	"{""bagging_fraction"": 0.8, ""feature_fraction"": 0.7, ""learning_rate"": 0.025, ""min_child_samples"": 25, ""n_estimators"": 500, ""num_leaves"": 31}"	564	563	20260716	development_only	371b01f932fe38619cd4b798de37df2a455bcf78a331095d8a69e5c443c588d7	development_only; not part of current sequence-only V2.8 display
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.5ec7e706ddc9e2a2	solubility	binary_classification	helm	peptide_omnipanel_features_v1:helm_char512_v21	lightgbm	lightgbm_leaf15	"{""bagging_fraction"": 0.85, ""feature_fraction"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 15, ""n_estimators"": 500, ""num_leaves"": 15}"	222	221	20260716	development_only	ceef38c7750e969a5ecfbe2e4cefbb8aa8d8b3e965cdae543c0795d22caf0e75	development_only; not part of current sequence-only V2.8 display
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.65183d73293b0431	solubility	binary_classification	helm	peptide_omnipanel_features_v1:helm_char512_v21	xgboost	xgboost_depth5_auto_balanced	"{""auto_class_weight"": true, ""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 750, ""reg_lambda"": 10.0, ""subsample"": 0.8}"	247	246	20260716	development_only	c594c8563743774363237d03591e39302004a72c5df94268b33a7e7e66fef869	development_only; not part of current sequence-only V2.8 display
mlv1.solubility.binary_clas_8c2ea6bb.source_defined_solubility.c78b2349d5993f83	solubility	binary_classification	helm	peptide_omnipanel_features_v1:helm_char512_v21	catboost	catboost_depth4_balanced	"{""depth"": 4, ""iterations"": 750, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.03, ""random_strength"": 0.25}"	422	421	20260716	development_only	fb6c997386ff1a092919e03af2e4185ed748c88e7dc74cccef79aa6be3af9c1e	development_only; not part of current sequence-only V2.8 display
mlv1.t1_2.binary_clas_8c2ea6bb.stability_threshold_1h.a990a886042c006f	T1/2	binary_classification	sequence	peptide_omnipanel_features_v1:sequence_char256_physchem_v21	sklearn	extra_trees_leaf3_half_1024	"{""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 1024}"	645	505	20260716	development_only	23d4b5329e9cbc9f00eaec3674d7cdc663a8826c4185f933d0428dcbbd0d37b7	development_only; not part of current sequence-only V2.8 display
mlv1.t1_2.regression.protease_intestinal_stability.8964cda78967b992	T1/2	regression	helm	peptide_omnipanel_features_v1:helm_char512_v21	catboost	catboost_depth6	"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.04, ""random_strength"": 0.5}"	244	241	20260716	development_only	8d5e33287b9433e1f04affc34e8659d35ea4d0226e3d817be3a396902a521161	development_only; not part of current sequence-only V2.8 display
