endpoint_id	panel	primary_output	task_kind	unit	route	data_domain	estimator	output_kind	feature_schema	seed	teacher_training_rows	student_training_rows	local_canonical_training_sequences	evidence_tier	peptide_validated	formal_oof_metric_status	source_heldout_metric_status	external_metric_status	prediction_semantics	artifact_sha256	training_input_sha256	warnings
AMES	extended_admet_tox	p_ames_positive	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260719	7278	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	ec0d4ac18261f6a0923797d3805e2f9fd96b305c1c30c5f2e36e156ecb0781e4	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
CYP1A2_inhibition	extended_admet_tox	p_cyp1a2_inhibitor	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260720	12579	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	844c885391ed91b7bd7ea5babb54854c837b9bd432b9fa6a18c235077ed24bbf	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
CYP2C19_inhibition	extended_admet_tox	p_cyp2c19_inhibitor	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260721	12665	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	da48325af46b379ac2c22a53fe60fd0665b154a5d566c48981a993cf79637a7b	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
CYP2C9_inhibition	extended_admet_tox	p_cyp2c9_inhibitor	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260722	12092	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	5f08fe3c6f8258f62e8e117cbce6fda944d6a10378894dbefcb29870308812e4	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
CYP2C9_substrate	extended_admet_tox	p_cyp2c9_substrate	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260723	669	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	f5f3dbd6dae2248cf888b83ca44ed75f5956aef7a771d2833f3400b3d94521ce	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
CYP2D6_inhibition	extended_admet_tox	p_cyp2d6_inhibitor	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260724	13130	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	582b466158f0c3372bf419128b387428b3e7411ff398d112aca0219b787c7801	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
CYP2D6_substrate	extended_admet_tox	p_cyp2d6_substrate	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260725	667	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	bc65b58c6281a6af09395d7e66db1229903f2a4a8c5f5813c79473b555786872	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
CYP3A4_inhibition	extended_admet_tox	p_cyp3a4_inhibitor	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260726	12328	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	4dfd32007d9b79f78f33f822221c7dbdc14b161b52fc27055bcf64c0fe09da32	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
CYP3A4_substrate	extended_admet_tox	p_cyp3a4_substrate	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260727	670	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	6791fda20c95c9371ddec5e3e0976aadc52bf16295e0edfaf5cbfe320a605d6d	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
ClinTox	extended_admet_tox	p_clinical_toxicity	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260728	1478	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	e88618884062a5200256ac8507e5b7e1b7533c4fd60545742f885e09bc609ee2	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
