endpoint_id	task_kind	primary_output	unit	case_count	positive_membership_count	unlabeled_count	unique_sequences	sequence_rows	helm_rows	smiles_rows	unique_exact_identities	unique_validation_groups	source_count	is_measured_rows	evidence_lanes	research_only	low_confidence
LogD7.4	regression	logD_pH7_4	dimensionless_log10	79	0	0	11	13	0	79	79	77	2	79	direct_measured_structure_conditioned	True	True
solubility	classification	source_defined_soluble_score	score_0_1	2168	0	0	1337	2168	2168	0	1337	1337	1	0	source_defined_binary	True	True
F	regression	absolute_bioavailability_fraction	fraction	12	0	0	2	6	0	9	6	6	3	12	direct_measured_structure_conditioned	True	True
T1/2	classification	stable_at_least_1h_probability	probability	918	0	0	918	918	0	0	918	246	339	918	direct_measured	True	False
PPB	regression	plasma_or_serum_fraction_bound	fraction_bound	103	0	0	16	16	28	75	69	69	15	103	direct_measured_structure_conditioned	True	True
CL	regression	absolute_systemic_clearance	mL/min/kg	19	0	0	2	9	5	18	10	9	4	19	direct_measured_structure_conditioned	True	True
Vd	regression	absolute_volume_of_distribution	L/kg	15	0	0	2	10	6	14	5	4	4	15	direct_measured_structure_conditioned	True	True
BBB	classification	weak_bbb_penetration_score	score_0_1	844	0	0	844	844	0	0	844	844	1	0	weak_binary	True	True
permeability	regression	PAMPA_source_log10_permeability	source_log10_permeability	6814	0	0	0	0	6814	6814	6814	6814	1	6814	direct_measured_structure_conditioned	True	True
overall_peptide_toxicity	classification	weak_overall_toxicity_score	score_0_1	11036	0	0	11036	11036	0	0	11036	11036	1	0	weak_binary	True	True
cytotoxicity	classification	source_defined_cytotoxicity_score	score_0_1	312	0	0	141	224	0	312	206	198	1	0	source_defined_binary	True	True
hemolysis	classification	hemolytic_probability_at_50uM	probability	2012	0	0	1874	2012	2012	0	2012	333	491	2012	direct_source_resolved_binary	True	False
HC50	regression	HC50	log10(mol/L)	1926	0	0	1926	1926	0	0	1926	1926	1	1926	direct_measured_single_source	True	True
cell_penetration	positive_unlabeled	cell_penetration_PU_ranking_score	ranking_score_0_1	3784	784	3000	3746	3779	784	0	3784	3751	147	0	positive_unlabeled	True	True
membrane_retention	regression	PAMPA_fraction_retained	fraction_retained	12	0	0	0	0	0	12	12	12	1	12	direct_measured_structure_only	True	True
human_plasma_stability	regression	human_plasma_stability_t1_2	log10(h)	43	0	0	34	40	39	42	38	37	22	43	direct_measured_structure_conditioned	True	True
mouse_plasma_stability	regression	mouse_plasma_stability_t1_2	log10(h)	17	0	0	15	16	16	17	16	16	10	17	direct_measured_structure_conditioned	True	True
intestinal_stability	regression	intestinal_or_protease_stability_t1_2	log10(h)	393	0	0	388	393	393	393	388	388	11	393	direct_measured_structure_conditioned	True	True
